taxon	min	max
Solenopsis_privata	28.4	33.9
Solenopsis_superba	28.4	33.9
Solenopsis_valida	28.4	33.9
Solenopsites_abdita	41.3	47.8
Solenopsites_minutus	46.2	50.3
Solenopsites_rossi	33.9	38.0
Veromessor_andrei	0.012	0.3
Vollenhovia_beyrichi	33.9	38.0
Vollenhovia_prisca	33.9	38.0
Wumyrmex_furvis	48.6	55.8
Zhangidris_atopogaster	11.607999999999999	15.97
Archimyrmex_piatnitzkyi	41.3	47.8
Archimyrmex_rostratus	46.2	50.3
Archimyrmex_smekali	41.3	47.8
Archimyrmex_wedmannae	40.4	48.6
Avitomyrmex_elongatus	47.8	56.0
Avitomyrmex_mastax	47.8	56.0
Avitomyrmex_systenus	47.8	56.0
Myrmeciites_goliath	47.8	56.0
Myrmeciites_herculeanus	47.8	56.0
Myrmeciites_tabanifluviensis	47.8	56.0
Prionomyrmex_janzeni	33.9	56.0
Prionomyrmex_longiceps	33.9	38.0
Prionomyrmex_wappleri	23.03	28.4
Ypresiomyrma_bartletti	47.8	56.0
Ypresiomyrma_orbiculata	47.8	56.0
Ypresiomyrma_orientalis	33.9	38.0
Ypresiomyrma_rebekkae	47.8	56.0
Acanthognathus_poinari	13.82	20.44
Afromyrma_petrosa	89.8	93.9
Agastomyrma_laticeps	33.9	38.0
Aphaenogaster_amphioceanica	13.82	20.44
Aphaenogaster_antiqua	33.9	38.0
Aphaenogaster_archaica	23.03	28.4
Aphaenogaster_avita	13.82	15.97
Aphaenogaster_donisthorpei	33.9	37.2
Aphaenogaster_dumetora	11.607999999999999	15.97
Aphaenogaster_lapidescens	11.607999999999999	15.97
Aphaenogaster_longaeva	23.03	33.9
Aphaenogaster_maculata	23.03	28.1
Aphaenogaster_maculipes	28.4	33.9
Aphaenogaster_mayri	33.9	37.2
Aphaenogaster_mersa	33.9	38.0
Aphaenogaster_oligocenica	33.9	38.0
Aphaenogaster_paludosa	11.607999999999999	15.97
Aphaenogaster_pannonica	5.332999999999999	7.246
Aphaenogaster_praerelicta	15.97	23.03
Aphaenogaster_shanwangensis	11.607999999999999	15.97
Aphaenogaster_sommerfeldti	33.9	38.0
Apterostigma_electropilosum	13.82	20.44
Apterostigma_eowilsoni	13.82	20.44
Attopsis_longipennis	11.607999999999999	12.7
Attopsis_longipes	11.607999999999999	12.7
Biamomyrma_lata	33.9	38.0
Biamomyrma_rugosa	33.9	38.0
Biamomyrma_zherikhini	33.9	38.0
Bilobomyrma_baltica	33.9	38.0
Bilobomyrma_ukrainica	33.9	38.0
Boltonidris_mirabilis	33.9	38.0
Brachytarsites_dongzhouheensis	48.6	55.8
Carebara_antiqua	33.9	38.0
Carebara_bohemica	15.97	16.9
Carebara_nitida	33.9	38.0
Carebara_rugiceps	11.607999999999999	12.7
Carebara_schossnicensis	5.332999999999999	11.607999999999999
Carebara_sophiae	5.332999999999999	11.607999999999999
Carebara_thorali	23.03	28.1
Carebara_ucrainica	33.9	38.0
Cataulacus_planiceps	5.332999999999999	11.607999999999999
Cataulacus_plebeius	15.97	20.44
Cataulacus_silvestrii	5.332999999999999	11.607999999999999
Cephalomyrmex_rotundatus	33.9	37.2
Cephalotes_alveolatus	13.82	20.44
Cephalotes_bloosi	13.82	20.44
Cephalotes_brevispineus	13.82	20.44
Cephalotes_caribicus	13.82	20.44
Cephalotes_dieteri	13.82	20.44
Cephalotes_hispaniolicus	13.82	20.44
Cephalotes_integerrimus	13.82	20.44
Cephalotes_jansei	13.82	20.44
Cephalotes_maya	15.97	23.03
Cephalotes_obscurus	13.82	20.44
Cephalotes_olmecus	15.97	23.03
Cephalotes_poinari	15.97	23.03
Cephalotes_resinae	0.0	0.0117
Cephalotes_serratus	13.82	20.44
Cephalotes_squamosus	13.82	20.44
Cephalotes_sucinus	13.82	20.44
Cephalotes_taino	0.0	0.0117
Cephalotes_ventriosus	15.97	23.03
Clavipetiola_asiatica	48.6	55.8
Crematogaster_aurora	41.3	47.8
Crematogaster_praecursor	5.332999999999999	11.607999999999999
Cyphomyrmex_maya	15.97	23.03
Cyphomyrmex_taino	13.82	20.44
Electroponera_dubia	33.9	38.0
Enneamerus_reticulatus	33.9	38.0
Eocenidris_crassa	38.0	41.3
Eocenomyrma_electrina	33.9	38.0
Eocenomyrma_elegantula	33.9	38.0
Eocenomyrma_orthospina	33.9	38.0
Eocenomyrma_rugosostriata	33.9	38.0
Eomyrmex_guchengziensis	48.6	55.8
Fallomyrma_transversa	33.9	38.0
Fushunomyrmex_liaoningensis	48.6	55.8
Hypopomyrmex_bombiccii	5.332999999999999	11.607999999999999
Ilemomyrmex_caecus	13.82	20.44
Leptothorax_muscorum	0.0117	0.126
Lonchomyrmex_freyeri	11.607999999999999	12.7
Lonchomyrmex_nigritus	5.332999999999999	11.607999999999999
Macabeemyrma_ovata	47.8	56.0
Messor_sculpturatus	33.9	37.2
Miosolenopsis_fossilis	11.607999999999999	15.97
Monomorium	33.9	38.0
Monomorium_kugleri	33.9	38.0
Monomorium_mayrianum	33.9	38.0
Monomorium_pilipes	33.9	38.0
Myrmecites_dubius	33.9	38.0
Myrmecites_latus	11.607999999999999	12.7
Myrmecites_major	33.9	38.0
Myrmecites_pusillus	11.607999999999999	12.7
Myrmecites_rotundiceps	46.2	50.3
Myrmecites_sibiricus	33.9	38.0
Myrmica_eocenica	33.9	38.0
Myrmica_incompleta	0.0117	0.126
Myrmica_intermedia	33.9	38.0
Myrmica_lobifrons	0.0117	0.126
Myrmica_longispinosa	33.9	38.0
Myrmica_paradoxa	33.9	38.0
Myrmica_rudis	33.9	38.0
Nesomyrmex_caritatis	13.82	20.44
Nesomyrmex_dominicanus	13.82	20.44
Orbigastrula_guchengziensis	48.6	55.8
Oxyidris_antillana	13.82	20.44
Parameranoplus_primaevus	33.9	38.0
Paraphaenogaster_hooleyana	33.9	38.0
Paraphaenogaster_jurinei	11.607999999999999	12.7
Paraphaenogaster_microphthalmus	11.607999999999999	15.97
Paraphaenogaster_tertiaria	11.607999999999999	12.7
