SimID,Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Segregating-Sites,Max GC,Max GC Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min GC,Min GC Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Mean GC,Mean GC Excluding Ambiguous,Mean GC 1,Mean GC 1 Excluding Ambiguous,Mean GC 2,Mean GC 2 Excluding Ambiguous,Mean GC 3,Mean GC 3 Excluding Ambiguous,Var GC,Var GC Excluding Ambiguous,Var GC 1,Var GC 1 Excluding Ambiguous,Var GC 2,Var GC 2 Excluding Ambiguous,Var GC 3,Var GC 3 Excluding Ambiguous,Theta,Tajima-D,Tajima-Pi,Multinomial-Likelihood
128,35,976,1841,0.1044776,0.1130856,3,12,316,1832,512,9,0,0.08077544,0,0,26,456,0.01340618,-nan,0.01370379,-nan,0.01313143,-nan,0.01338286,-nan,0.0007911962,-nan,0.0007468986,-nan,0.000811483,-nan,0.0008442921,-nan,0.1779316,-3.241467,0.004004661,-8285.086
129,35,956,1841,0.1135394,0.1179321,3,10,327,1832,512,10,0,0.08400646,0,0,26,455,0.01443801,-nan,0.01551803,-nan,0.01338286,-nan,0.01441143,-nan,0.0009389397,-nan,0.001017437,-nan,0.0009139462,-nan,0.0009076948,-nan,0.1779316,-3.243084,0.003917883,-8551.075
130,35,968,1841,0.119936,0.1292407,3,9,321,1832,512,9,0,0.1043716,0,0,26,464,0.01607143,-nan,0.01422866,-nan,0.01716571,-nan,0.01682286,-nan,0.001090133,-nan,0.0009742069,-nan,0.00118323,-nan,0.001146161,-nan,0.1779316,-3.242139,0.003968613,-8471.002
131,35,978,1841,0.1119403,0.1324717,3,11,321,1832,512,12,0,0.1022417,0,0,26,443,0.01550792,-nan,0.0147079,-nan,0.01749714,-nan,0.01432,-nan,0.0009789092,-nan,0.0008708707,-nan,0.001290395,-nan,0.0008218641,-nan,0.1779316,-3.240961,0.004031834,-8391.93
132,35,947,1841,0.1263326,0.1295082,3,11,334,1832,512,12,0,0.08534622,0,0,26,453,0.01564499,-nan,0.01492469,-nan,0.01536,-nan,0.01665143,-nan,0.001144296,-nan,0.001064893,-nan,0.001086943,-nan,0.001302171,-nan,0.1779316,-3.23902,0.004135978,-8638.473
133,35,987,1841,0.1130064,0.1159103,3,12,322,1832,512,11,0,0.07085346,0,0,26,485,0.01424764,-nan,0.01518713,-nan,0.01328,-nan,0.01427429,-nan,0.000934538,-nan,0.001045386,-nan,0.0009047187,-nan,0.0008839208,-nan,0.1779316,-3.244328,0.003851156,-8329.744
134,35,954,1841,0.1098081,0.1324717,3,11,328,1832,512,9,0,0.1017771,0,0,26,472,0.0151424,-nan,0.0139434,-nan,0.01621714,-nan,0.01526857,-nan,0.0009600946,-nan,0.0008132378,-nan,0.001146888,-nan,0.0009488712,-nan,0.1779316,-3.244551,0.003839158,-8516.41
135,35,991,1841,0.1162047,0.1243942,3,12,331,1832,512,9,0,0.09531502,0,0,26,463,0.01515002,-nan,0.01424007,-nan,0.01538286,-nan,0.01582857,-nan,0.0009948136,-nan,0.0008802331,-nan,0.001010945,-nan,0.001117254,-nan,0.1779316,-3.244152,0.003860579,-8261.694
136,35,961,1841,0.1135394,0.1239936,3,11,329,1832,512,11,0,0.09369952,0,0,26,473,0.01534039,-nan,0.01511867,-nan,0.01570286,-nan,0.0152,-nan,0.001007672,-nan,0.001011493,-nan,0.001059825,-nan,0.0009717134,-nan,0.1779316,-3.241276,0.004014906,-8485.414
137,35,987,1841,0.1119403,0.1326861,3,9,319,1832,512,7,0,0.1004367,0,0,26,475,0.0155993,-nan,0.01556367,-nan,0.01684571,-nan,0.01438857,-nan,0.0009901306,-nan,0.0009985677,-nan,0.001185057,-nan,0.0008219809,-nan,0.1779316,-3.247146,0.003699952,-8339.125
138,35,985,1841,0.1108742,0.1211632,3,19,325,1832,512,9,0,0.09208401,0,0,26,453,0.01471596,-nan,0.01344135,-nan,0.01627429,-nan,0.01443429,-nan,0.0009020472,-nan,0.0007565888,-nan,0.001103229,-nan,0.0008758319,-nan,0.1779316,-3.243935,0.003872248,-8337.79
139,35,976,1841,0.1204691,0.1389338,3,10,327,1832,512,9,0,0.09854604,0,0,26,478,0.01628084,-nan,0.01500456,-nan,0.01730286,-nan,0.01653714,-nan,0.001138684,-nan,0.00100651,-nan,0.001226427,-nan,0.001209595,-nan,0.1779316,-3.241647,0.003995019,-8440.416
140,35,988,1841,0.1172708,0.1227787,3,10,334,1832,512,7,0,0.09369952,0,0,26,464,0.01531754,-nan,0.01598585,-nan,0.01564571,-nan,0.01432,-nan,0.001021263,-nan,0.001058127,-nan,0.001048313,-nan,0.0009789265,-nan,0.1779316,-3.245064,0.003811657,-8321.421
